B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,GEO_ID,NAME
2409,222,176,85,0,12,25,32,0,12,0,12,36,36,0,12,37,40,135,66,58,74,64,48,72,60,237,103,72,57,114,67,519,183,61,37,117,77,433,132,104,65,125,70,5,8,0,12,19,23,1400000US08001007801,"Census Tract 78.01, Adams County, Colorado"
2822,315,103,60,0,12,0,12,0,12,21,25,44,61,29,45,55,59,230,108,43,38,68,48,115,73,141,80,119,76,92,78,999,236,132,100,152,84,231,87,56,40,105,67,71,48,0,12,16,17,1400000US08001007802,"Census Tract 78.02, Adams County, Colorado"
3402,276,8,13,0,17,8,12,23,37,16,26,44,48,2,4,41,43,170,84,122,100,100,64,160,103,129,76,140,117,59,50,916,195,124,61,203,82,298,129,309,116,313,125,184,82,21,23,12,18,1400000US08001007900,"Census Tract 79, Adams County, Colorado"
3604,367,154,91,0,17,16,27,83,101,23,36,28,44,0,17,41,42,210,153,53,62,18,22,187,135,6,15,94,75,154,95,914,215,194,110,276,161,492,164,256,137,244,110,144,69,9,14,8,12,1400000US08001008000,"Census Tract 80, Adams County, Colorado"
1151,163,23,29,0,12,0,12,22,30,0,12,0,12,0,12,0,12,15,18,0,12,40,53,20,46,5,11,0,12,4,8,127,74,10,23,32,25,68,43,104,38,376,112,116,50,124,73,65,32,1400000US08001008100,"Census Tract 81, Adams County, Colorado"
4310,375,75,62,0,17,11,16,0,17,0,17,0,17,0,17,24,35,53,63,53,36,113,90,94,76,137,93,290,137,160,80,1332,274,334,192,165,63,607,194,424,151,278,100,89,46,16,19,55,35,1400000US08001008200,"Census Tract 82, Adams County, Colorado"
3451,340,68,60,0,17,10,15,0,17,0,17,6,10,0,17,0,17,24,42,87,57,108,110,138,82,122,104,82,70,41,27,1317,358,125,63,179,76,409,154,339,131,292,99,86,54,0,17,18,22,1400000US08001008308,"Census Tract 83.08, Adams County, Colorado"
2292,232,17,20,0,12,0,12,0,12,0,12,0,12,0,12,36,53,169,102,9,13,78,59,147,99,69,65,102,60,22,31,1025,232,83,57,84,47,175,75,87,53,85,63,95,56,9,11,0,12,1400000US08001008309,"Census Tract 83.09, Adams County, Colorado"
5435,439,101,131,0,17,11,30,0,17,0,17,87,131,0,17,20,33,107,102,0,17,148,94,186,147,79,72,153,126,63,51,1534,374,154,83,350,162,870,234,471,163,784,218,259,133,11,18,47,56,1400000US08001008353,"Census Tract 83.53, Adams County, Colorado"
3415,264,27,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,27,21,25,21,151,55,1073,255,183,84,365,113,526,156,489,177,433,112,69,42,37,33,0,12,1400000US08001008401,"Census Tract 84.01, Adams County, Colorado"
3220,223,6,9,0,17,0,17,0,17,0,17,0,17,0,17,0,17,31,31,0,17,0,17,18,21,0,17,25,25,59,42,721,134,122,82,316,97,684,172,457,171,517,132,242,87,11,19,11,17,1400000US08001008402,"Census Tract 84.02, Adams County, Colorado"
4911,333,150,120,0,17,0,17,0,17,0,17,15,25,0,17,0,17,14,47,11,18,58,67,24,35,37,34,48,45,145,80,1399,334,221,110,392,150,791,195,557,167,738,235,260,184,17,28,34,40,1400000US08001008505,"Census Tract 85.05, Adams County, Colorado"
4271,396,181,93,0,17,0,17,0,17,0,17,21,34,0,17,0,17,58,71,35,43,29,40,29,33,12,19,145,94,61,60,1533,365,179,123,284,130,674,220,567,234,325,130,138,120,0,17,0,17,1400000US08001008506,"Census Tract 85.06, Adams County, Colorado"
3985,291,13,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,51,55,74,90,36,43,73,51,193,150,1238,366,275,156,289,137,874,245,298,108,417,176,136,89,18,25,0,17,1400000US08001008507,"Census Tract 85.07, Adams County, Colorado"
3637,202,94,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,47,11,17,0,17,13,20,33,39,54,47,90,45,793,168,154,72,407,126,605,131,364,130,706,171,231,92,41,46,11,17,1400000US08001008508,"Census Tract 85.08, Adams County, Colorado"
6398,408,87,93,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,62,86,0,17,36,43,79,66,60,56,1749,367,391,150,629,199,1351,263,727,219,924,234,261,99,42,33,0,17,1400000US08001008523,"Census Tract 85.23, Adams County, Colorado"
5974,345,19,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,66,58,0,17,10,18,27,33,0,17,57,44,197,126,994,260,190,115,554,158,894,210,651,161,1432,221,796,253,54,48,33,40,1400000US08001008524,"Census Tract 85.24, Adams County, Colorado"
4838,257,82,109,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,153,174,0,17,30,32,75,85,199,126,779,226,46,43,384,160,857,211,415,153,1144,246,548,161,59,57,67,59,1400000US08001008526,"Census Tract 85.26, Adams County, Colorado"
5287,415,54,68,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,59,0,17,0,17,108,107,104,114,204,133,172,83,1233,290,54,52,333,158,865,247,554,178,1104,295,392,178,51,58,17,27,1400000US08001008529,"Census Tract 85.29, Adams County, Colorado"
4870,363,87,78,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,33,5,9,0,17,64,62,90,77,52,60,1087,234,158,104,316,130,932,271,541,163,1100,256,349,116,29,31,40,53,1400000US08001008533,"Census Tract 85.33, Adams County, Colorado"
2924,203,29,34,0,12,0,12,0,12,0,12,9,14,0,12,12,20,14,23,0,12,0,12,74,79,26,40,111,83,64,47,756,184,106,58,288,89,523,122,339,114,407,121,140,76,26,30,0,12,1400000US08001008534,"Census Tract 85.34, Adams County, Colorado"
2509,288,22,29,0,12,0,12,0,12,0,12,0,12,0,12,28,44,16,22,0,12,0,12,61,59,83,84,96,75,33,33,599,221,142,70,137,69,316,113,253,97,488,137,195,87,20,30,20,24,1400000US08001008535,"Census Tract 85.35, Adams County, Colorado"
2223,157,15,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,40,0,12,0,12,9,14,43,42,28,27,30,24,445,134,42,31,166,53,423,162,248,100,475,116,203,72,27,24,36,28,1400000US08001008536,"Census Tract 85.36, Adams County, Colorado"
4051,260,36,41,0,17,0,17,0,17,0,17,62,62,0,17,0,17,73,86,0,17,59,56,20,25,87,54,105,67,102,69,1006,234,224,87,519,148,494,115,316,101,667,149,263,105,10,16,8,13,1400000US08001008537,"Census Tract 85.37, Adams County, Colorado"
4849,251,34,42,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,36,24,40,25,31,78,72,573,191,120,75,425,158,984,199,483,162,1319,287,649,212,32,36,80,61,1400000US08001008538,"Census Tract 85.38, Adams County, Colorado"
6550,375,78,84,0,19,0,19,0,19,0,19,0,19,0,19,0,19,60,61,0,19,21,35,0,19,0,19,162,118,94,71,1686,425,318,166,463,152,997,220,738,237,1404,216,497,174,21,25,11,18,1400000US08001008539,"Census Tract 85.39, Adams County, Colorado"
5282,333,35,59,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,50,17,28,39,48,61,59,1193,342,143,91,350,160,741,189,703,234,1443,268,342,141,132,105,40,49,1400000US08001008540,"Census Tract 85.40, Adams County, Colorado"
4861,264,7,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,13,60,53,32,26,16,24,35,27,859,194,122,58,454,131,750,186,486,139,1277,196,622,131,95,52,38,27,1400000US08001008541,"Census Tract 85.41, Adams County, Colorado"
5854,362,79,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,31,0,17,0,17,107,168,107,118,0,17,208,207,1097,339,257,201,419,130,966,246,647,185,1294,285,500,159,17,28,136,121,1400000US08001008542,"Census Tract 85.42, Adams County, Colorado"
5679,320,99,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17,137,105,0,17,15,28,131,114,190,150,160,121,113,79,1346,305,391,162,368,171,830,228,460,173,977,246,408,169,54,51,0,17,1400000US08001008543,"Census Tract 85.43, Adams County, Colorado"
3569,173,0,17,0,17,0,17,0,17,0,17,11,18,0,17,0,17,0,17,29,47,6,9,0,17,57,52,36,59,47,43,447,125,78,46,243,101,425,168,333,116,1205,179,551,124,65,43,36,28,1400000US08001008544,"Census Tract 85.44, Adams County, Colorado"
4736,295,171,125,0,17,0,17,0,17,0,17,0,17,38,54,0,17,2,5,0,17,16,22,0,17,0,17,28,33,76,65,949,258,87,59,432,161,531,148,494,154,1268,244,523,161,121,71,0,17,1400000US08001008545,"Census Tract 85.45, Adams County, Colorado"
2587,257,100,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,28,29,10,16,0,12,37,35,69,52,605,211,40,30,178,80,413,184,245,85,651,144,127,57,32,39,52,57,1400000US08001008546,"Census Tract 85.46, Adams County, Colorado"
2402,265,28,42,0,12,0,12,0,12,12,18,0,12,0,12,0,12,46,62,0,12,0,12,42,64,50,52,56,46,31,32,592,157,147,66,160,60,380,108,172,67,603,147,79,46,4,9,0,12,1400000US08001008547,"Census Tract 85.47, Adams County, Colorado"
