GEO_ID,NAME,B01003_001E,B01003_001M
1400000US08001007801,"Census Tract 78.01, Adams County, Colorado",4215,329
1400000US08001007802,"Census Tract 78.02, Adams County, Colorado",4389,399
1400000US08001007900,"Census Tract 79, Adams County, Colorado",5627,418
1400000US08001008000,"Census Tract 80, Adams County, Colorado",5818,561
1400000US08001008100,"Census Tract 81, Adams County, Colorado",1574,186
1400000US08001008200,"Census Tract 82, Adams County, Colorado",6576,553
1400000US08001008308,"Census Tract 83.08, Adams County, Colorado",5648,535
1400000US08001008309,"Census Tract 83.09, Adams County, Colorado",4251,332
1400000US08001008353,"Census Tract 83.53, Adams County, Colorado",8538,535
1400000US08001008401,"Census Tract 84.01, Adams County, Colorado",4978,342
1400000US08001008402,"Census Tract 84.02, Adams County, Colorado",5141,393
1400000US08001008505,"Census Tract 85.05, Adams County, Colorado",7266,503
1400000US08001008506,"Census Tract 85.06, Adams County, Colorado",6775,593
1400000US08001008507,"Census Tract 85.07, Adams County, Colorado",6703,610
1400000US08001008508,"Census Tract 85.08, Adams County, Colorado",5672,344
1400000US08001008523,"Census Tract 85.23, Adams County, Colorado",9226,510
1400000US08001008524,"Census Tract 85.24, Adams County, Colorado",9158,506
1400000US08001008526,"Census Tract 85.26, Adams County, Colorado",6915,412
1400000US08001008529,"Census Tract 85.29, Adams County, Colorado",7446,534
1400000US08001008533,"Census Tract 85.33, Adams County, Colorado",8035,564
1400000US08001008534,"Census Tract 85.34, Adams County, Colorado",4946,360
1400000US08001008535,"Census Tract 85.35, Adams County, Colorado",3883,385
1400000US08001008536,"Census Tract 85.36, Adams County, Colorado",3495,256
1400000US08001008537,"Census Tract 85.37, Adams County, Colorado",6846,368
1400000US08001008538,"Census Tract 85.38, Adams County, Colorado",8171,560
1400000US08001008539,"Census Tract 85.39, Adams County, Colorado",11059,646
1400000US08001008540,"Census Tract 85.40, Adams County, Colorado",8029,564
1400000US08001008541,"Census Tract 85.41, Adams County, Colorado",6241,371
1400000US08001008542,"Census Tract 85.42, Adams County, Colorado",9823,497
1400000US08001008543,"Census Tract 85.43, Adams County, Colorado",9090,562
1400000US08001008544,"Census Tract 85.44, Adams County, Colorado",5729,376
1400000US08001008545,"Census Tract 85.45, Adams County, Colorado",7138,424
1400000US08001008546,"Census Tract 85.46, Adams County, Colorado",3926,355
1400000US08001008547,"Census Tract 85.47, Adams County, Colorado",3663,530
1400000US08001008548,"Census Tract 85.48, Adams County, Colorado",1639,119
1400000US08001008549,"Census Tract 85.49, Adams County, Colorado",4022,243
1400000US08001008550,"Census Tract 85.50, Adams County, Colorado",8220,573
1400000US08001008551,"Census Tract 85.51, Adams County, Colorado",1569,120
1400000US08001008603,"Census Tract 86.03, Adams County, Colorado",1937,213
1400000US08001008604,"Census Tract 86.04, Adams County, Colorado",5254,487
1400000US08001008605,"Census Tract 86.05, Adams County, Colorado",4278,355
1400000US08001008606,"Census Tract 86.06, Adams County, Colorado",6120,525
1400000US08001008705,"Census Tract 87.05, Adams County, Colorado",5511,567
1400000US08001008706,"Census Tract 87.06, Adams County, Colorado",6056,690
1400000US08001008709,"Census Tract 87.09, Adams County, Colorado",7668,626
1400000US08001008801,"Census Tract 88.01, Adams County, Colorado",5160,510
1400000US08001008802,"Census Tract 88.02, Adams County, Colorado",5396,529
1400000US08001008901,"Census Tract 89.01, Adams County, Colorado",2800,225
1400000US08001009001,"Census Tract 90.01, Adams County, Colorado",4420,344
1400000US08001009002,"Census Tract 90.02, Adams County, Colorado",10038,982
1400000US08001009101,"Census Tract 91.01, Adams County, Colorado",4639,448
1400000US08001009103,"Census Tract 91.03, Adams County, Colorado",4435,463
1400000US08001009104,"Census Tract 91.04, Adams County, Colorado",6355,491
1400000US08001009202,"Census Tract 92.02, Adams County, Colorado",4554,415
1400000US08001009203,"Census Tract 92.03, Adams County, Colorado",5220,501
1400000US08001009204,"Census Tract 92.04, Adams County, Colorado",6836,529
1400000US08001009206,"Census Tract 92.06, Adams County, Colorado",2340,144
1400000US08001009207,"Census Tract 92.07, Adams County, Colorado",4760,412
1400000US08001009304,"Census Tract 93.04, Adams County, Colorado",5756,448
1400000US08001009306,"Census Tract 93.06, Adams County, Colorado",3588,342
1400000US08001009307,"Census Tract 93.07, Adams County, Colorado",3483,397
1400000US08001009308,"Census Tract 93.08, Adams County, Colorado",4445,591
1400000US08001009309,"Census Tract 93.09, Adams County, Colorado",4268,268
1400000US08001009310,"Census Tract 93.10, Adams County, Colorado",6290,752
1400000US08001009316,"Census Tract 93.16, Adams County, Colorado",7372,680
1400000US08001009318,"Census Tract 93.18, Adams County, Colorado",6254,882
1400000US08001009319,"Census Tract 93.19, Adams County, Colorado",2595,346
1400000US08001009320,"Census Tract 93.20, Adams County, Colorado",2643,373
1400000US08001009321,"Census Tract 93.21, Adams County, Colorado",4031,446
1400000US08001009322,"Census Tract 93.22, Adams County, Colorado",5296,584
1400000US08001009323,"Census Tract 93.23, Adams County, Colorado",3837,335
1400000US08001009325,"Census Tract 93.25, Adams County, Colorado",5515,521
1400000US08001009326,"Census Tract 93.26, Adams County, Colorado",2817,167
1400000US08001009327,"Census Tract 93.27, Adams County, Colorado",4435,350
1400000US08001009401,"Census Tract 94.01, Adams County, Colorado",5406,333
1400000US08001009406,"Census Tract 94.06, Adams County, Colorado",4586,379
1400000US08001009407,"Census Tract 94.07, Adams County, Colorado",5133,407
1400000US08001009408,"Census Tract 94.08, Adams County, Colorado",4754,276
1400000US08001009409,"Census Tract 94.09, Adams County, Colorado",5473,428
1400000US08001009410,"Census Tract 94.10, Adams County, Colorado",3064,248
1400000US08001009411,"Census Tract 94.11, Adams County, Colorado",2974,187
1400000US08001009501,"Census Tract 95.01, Adams County, Colorado",3234,255
1400000US08001009502,"Census Tract 95.02, Adams County, Colorado",4977,448
1400000US08001009553,"Census Tract 95.53, Adams County, Colorado",3760,320
1400000US08001009603,"Census Tract 96.03, Adams County, Colorado",6273,544
1400000US08001009604,"Census Tract 96.04, Adams County, Colorado",4499,361
1400000US08001009606,"Census Tract 96.06, Adams County, Colorado",2758,453
1400000US08001009607,"Census Tract 96.07, Adams County, Colorado",4796,455
1400000US08001009608,"Census Tract 96.08, Adams County, Colorado",3225,26
1400000US08001009751,"Census Tract 97.51, Adams County, Colorado",3944,408
1400000US08001009752,"Census Tract 97.52, Adams County, Colorado",3257,355
1400000US08001015000,"Census Tract 150, Adams County, Colorado",2984,316
1400000US08001060000,"Census Tract 600, Adams County, Colorado",6338,420
1400000US08001060100,"Census Tract 601, Adams County, Colorado",7879,434
1400000US08001060200,"Census Tract 602, Adams County, Colorado",4157,358
1400000US08001061200,"Census Tract 612, Adams County, Colorado",2795,210
1400000US08001988700,"Census Tract 9887, Adams County, Colorado",0,12
1400000US08003960000,"Census Tract 9600, Alamosa County, Colorado",1868,233
1400000US08003960100,"Census Tract 9601, Alamosa County, Colorado",2621,294
1400000US08003960200,"Census Tract 9602, Alamosa County, Colorado",6163,414
1400000US08003960300,"Census Tract 9603, Alamosa County, Colorado",5455,562
1400000US08005004951,"Census Tract 49.51, Arapahoe County, Colorado",1984,172
1400000US08005004952,"Census Tract 49.52, Arapahoe County, Colorado",3193,168
1400000US08005005551,"Census Tract 55.51, Arapahoe County, Colorado",2951,369
1400000US08005005552,"Census Tract 55.52, Arapahoe County, Colorado",2754,282
1400000US08005005553,"Census Tract 55.53, Arapahoe County, Colorado",4199,367
1400000US08005005611,"Census Tract 56.11, Arapahoe County, Colorado",5338,338
1400000US08005005612,"Census Tract 56.12, Arapahoe County, Colorado",3789,285
1400000US08005005614,"Census Tract 56.14, Arapahoe County, Colorado",3212,161
1400000US08005005619,"Census Tract 56.19, Arapahoe County, Colorado",5102,347
1400000US08005005620,"Census Tract 56.20, Arapahoe County, Colorado",3152,319
1400000US08005005621,"Census Tract 56.21, Arapahoe County, Colorado",2774,296
1400000US08005005622,"Census Tract 56.22, Arapahoe County, Colorado",2631,202
1400000US08005005623,"Census Tract 56.23, Arapahoe County, Colorado",4394,275
1400000US08005005624,"Census Tract 56.24, Arapahoe County, Colorado",2443,132
1400000US08005005625,"Census Tract 56.25, Arapahoe County, Colorado",3541,212
1400000US08005005626,"Census Tract 56.26, Arapahoe County, Colorado",3845,250
1400000US08005005627,"Census Tract 56.27, Arapahoe County, Colorado",4783,259
1400000US08005005628,"Census Tract 56.28, Arapahoe County, Colorado",5859,268
1400000US08005005629,"Census Tract 56.29, Arapahoe County, Colorado",2483,118
1400000US08005005630,"Census Tract 56.30, Arapahoe County, Colorado",5824,457
1400000US08005005631,"Census Tract 56.31, Arapahoe County, Colorado",3324,201
1400000US08005005632,"Census Tract 56.32, Arapahoe County, Colorado",3416,204
1400000US08005005633,"Census Tract 56.33, Arapahoe County, Colorado",3222,148
1400000US08005005634,"Census Tract 56.34, Arapahoe County, Colorado",3309,229
1400000US08005005635,"Census Tract 56.35, Arapahoe County, Colorado",4989,261
1400000US08005005636,"Census Tract 56.36, Arapahoe County, Colorado",1833,145
1400000US08005005700,"Census Tract 57, Arapahoe County, Colorado",3927,315
1400000US08005005800,"Census Tract 58, Arapahoe County, Colorado",2837,268
1400000US08005005951,"Census Tract 59.51, Arapahoe County, Colorado",4509,380
1400000US08005005952,"Census Tract 59.52, Arapahoe County, Colorado",3758,322
1400000US08005006000,"Census Tract 60, Arapahoe County, Colorado",2683,239
1400000US08005006100,"Census Tract 61, Arapahoe County, Colorado",3391,300
1400000US08005006200,"Census Tract 62, Arapahoe County, Colorado",3518,346
1400000US08005006300,"Census Tract 63, Arapahoe County, Colorado",2601,198
1400000US08005006400,"Census Tract 64, Arapahoe County, Colorado",3357,423
1400000US08005006501,"Census Tract 65.01, Arapahoe County, Colorado",2276,254
1400000US08005006502,"Census Tract 65.02, Arapahoe County, Colorado",3523,218
1400000US08005006601,"Census Tract 66.01, Arapahoe County, Colorado",5830,482
1400000US08005006603,"Census Tract 66.03, Arapahoe County, Colorado",3310,210
1400000US08005006604,"Census Tract 66.04, Arapahoe County, Colorado",4544,425
1400000US08005006704,"Census Tract 67.04, Arapahoe County, Colorado",4613,145
1400000US08005006705,"Census Tract 67.05, Arapahoe County, Colorado",2034,147
1400000US08005006706,"Census Tract 67.06, Arapahoe County, Colorado",5262,272
1400000US08005006707,"Census Tract 67.07, Arapahoe County, Colorado",5143,288
1400000US08005006708,"Census Tract 67.08, Arapahoe County, Colorado",5058,229
1400000US08005006709,"Census Tract 67.09, Arapahoe County, Colorado",5327,302
1400000US08005006711,"Census Tract 67.11, Arapahoe County, Colorado",4225,282
1400000US08005006712,"Census Tract 67.12, Arapahoe County, Colorado",1402,120
1400000US08005006713,"Census Tract 67.13, Arapahoe County, Colorado",1806,164
1400000US08005006808,"Census Tract 68.08, Arapahoe County, Colorado",5839,240
1400000US08005006815,"Census Tract 68.15, Arapahoe County, Colorado",4728,312
1400000US08005006854,"Census Tract 68.54, Arapahoe County, Colorado",3097,226
1400000US08005006855,"Census Tract 68.55, Arapahoe County, Colorado",5806,282
1400000US08005006856,"Census Tract 68.56, Arapahoe County, Colorado",9231,1024
1400000US08005006857,"Census Tract 68.57, Arapahoe County, Colorado",2238,120
1400000US08005006858,"Census Tract 68.58, Arapahoe County, Colorado",5147,467
1400000US08005007101,"Census Tract 71.01, Arapahoe County, Colorado",5726,398
1400000US08005007103,"Census Tract 71.03, Arapahoe County, Colorado",1716,111
1400000US08005007104,"Census Tract 71.04, Arapahoe County, Colorado",5898,492
1400000US08005007105,"Census Tract 71.05, Arapahoe County, Colorado",7006,508
1400000US08005007106,"Census Tract 71.06, Arapahoe County, Colorado",6180,319
1400000US08005007107,"Census Tract 71.07, Arapahoe County, Colorado",11605,717
1400000US08005007201,"Census Tract 72.01, Arapahoe County, Colorado",4083,489
1400000US08005007202,"Census Tract 72.02, Arapahoe County, Colorado",4218,600
1400000US08005007301,"Census Tract 73.01, Arapahoe County, Colorado",2278,322
1400000US08005007302,"Census Tract 73.02, Arapahoe County, Colorado",5121,513
1400000US08005007400,"Census Tract 74, Arapahoe County, Colorado",5386,441
1400000US08005007500,"Census Tract 75, Arapahoe County, Colorado",2559,315
1400000US08005007600,"Census Tract 76, Arapahoe County, Colorado",3721,489
1400000US08005007702,"Census Tract 77.02, Arapahoe County, Colorado",4199,467
1400000US08005007703,"Census Tract 77.03, Arapahoe County, Colorado",4614,548
1400000US08005007704,"Census Tract 77.04, Arapahoe County, Colorado",5100,507
1400000US08005015100,"Census Tract 151, Arapahoe County, Colorado",2835,159
1400000US08005080000,"Census Tract 800, Arapahoe County, Colorado",3834,359
1400000US08005080100,"Census Tract 801, Arapahoe County, Colorado",4051,319
1400000US08005080200,"Census Tract 802, Arapahoe County, Colorado",6439,525
1400000US08005080300,"Census Tract 803, Arapahoe County, Colorado",5626,436
1400000US08005080400,"Census Tract 804, Arapahoe County, Colorado",4946,262
1400000US08005080500,"Census Tract 805, Arapahoe County, Colorado",3496,212
1400000US08005080600,"Census Tract 806, Arapahoe County, Colorado",3449,472
1400000US08005080700,"Census Tract 807, Arapahoe County, Colorado",5801,413
1400000US08005080800,"Census Tract 808, Arapahoe County, Colorado",3699,400
1400000US08005080900,"Census Tract 809, Arapahoe County, Colorado",4901,394
1400000US08005081000,"Census Tract 810, Arapahoe County, Colorado",5741,690
1400000US08005081100,"Census Tract 811, Arapahoe County, Colorado",6289,617
1400000US08005081200,"Census Tract 812, Arapahoe County, Colorado",5183,622
1400000US08005081300,"Census Tract 813, Arapahoe County, Colorado",3056,253
1400000US08005081400,"Census Tract 814, Arapahoe County, Colorado",4213,356
1400000US08005081500,"Census Tract 815, Arapahoe County, Colorado",2887,175
1400000US08005081600,"Census Tract 816, Arapahoe County, Colorado",5159,461
1400000US08005081700,"Census Tract 817, Arapahoe County, Colorado",2991,136
1400000US08005081800,"Census Tract 818, Arapahoe County, Colorado",5708,521
1400000US08005081900,"Census Tract 819, Arapahoe County, Colorado",6903,696
1400000US08005082000,"Census Tract 820, Arapahoe County, Colorado",4413,493
1400000US08005082100,"Census Tract 821, Arapahoe County, Colorado",7211,756
1400000US08005082200,"Census Tract 822, Arapahoe County, Colorado",6383,696
1400000US08005082300,"Census Tract 823, Arapahoe County, Colorado",4157,439
1400000US08005082400,"Census Tract 824, Arapahoe County, Colorado",4335,501
1400000US08005082500,"Census Tract 825, Arapahoe County, Colorado",2276,138
1400000US08005082600,"Census Tract 826, Arapahoe County, Colorado",5556,550
1400000US08005082700,"Census Tract 827, Arapahoe County, Colorado",3606,332
1400000US08005082800,"Census Tract 828, Arapahoe County, Colorado",5121,343
1400000US08005082900,"Census Tract 829, Arapahoe County, Colorado",4893,352
1400000US08005083000,"Census Tract 830, Arapahoe County, Colorado",3750,276
1400000US08005083100,"Census Tract 831, Arapahoe County, Colorado",6928,509
1400000US08005083200,"Census Tract 832, Arapahoe County, Colorado",9380,533
1400000US08005083300,"Census Tract 833, Arapahoe County, Colorado",4456,272
1400000US08005083400,"Census Tract 834, Arapahoe County, Colorado",7275,377
1400000US08005083500,"Census Tract 835, Arapahoe County, Colorado",6461,479
1400000US08005083600,"Census Tract 836, Arapahoe County, Colorado",3758,409
1400000US08005083700,"Census Tract 837, Arapahoe County, Colorado",4518,407
1400000US08005083800,"Census Tract 838, Arapahoe County, Colorado",2892,214
1400000US08005083900,"Census Tract 839, Arapahoe County, Colorado",3071,253
1400000US08005084000,"Census Tract 840, Arapahoe County, Colorado",2640,212
1400000US08005084100,"Census Tract 841, Arapahoe County, Colorado",4623,274
1400000US08005084200,"Census Tract 842, Arapahoe County, Colorado",3760,319
