B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,NAME
4215,329,2584,467,749,174,755,361,12,17,919,441,0,12,41,58,108,76,39,62,69,47,1631,434,747,333,11,17,12,14,0,12,0,12,840,382,21,28,10,17,11,16,1400000US08001007801,"Census Tract 78.01, Adams County, Colorado"
4389,399,2117,404,636,186,975,334,48,63,295,216,0,12,43,69,120,124,102,124,18,21,2272,433,669,269,24,29,14,21,0,12,0,12,1468,459,97,135,72,100,25,35,1400000US08001007802,"Census Tract 78.02, Adams County, Colorado"
5627,418,2512,396,1338,267,800,241,73,72,126,135,0,17,18,28,157,114,0,17,157,114,3115,547,1694,557,18,23,9,16,0,17,0,17,1210,421,184,211,95,96,89,121,1400000US08001007900,"Census Tract 79, Adams County, Colorado"
5818,561,2739,477,1409,312,643,307,114,103,361,378,0,17,0,17,212,182,0,17,212,182,3079,523,2187,591,0,17,18,28,12,20,0,17,754,412,108,88,80,84,28,36,1400000US08001008000,"Census Tract 80, Adams County, Colorado"
1574,186,1145,181,876,160,37,54,14,15,139,79,0,12,0,12,79,56,0,12,79,56,429,171,224,141,4,8,5,7,0,12,0,12,189,99,7,9,0,12,7,9,1400000US08001008100,"Census Tract 81, Adams County, Colorado"
6576,553,3547,353,1982,237,1026,241,0,17,106,110,16,29,177,128,240,154,0,17,240,154,3029,560,1490,477,69,73,202,327,8,14,0,17,1046,574,214,205,101,131,113,155,1400000US08001008200,"Census Tract 82, Adams County, Colorado"
5648,535,3011,435,1477,315,873,222,53,53,567,444,0,17,0,17,41,34,0,17,41,34,2637,620,1553,486,0,17,11,18,0,17,0,17,1043,460,30,30,30,30,0,17,1400000US08001008308,"Census Tract 83.08, Adams County, Colorado"
4251,332,1432,308,787,257,498,245,0,12,62,52,59,89,26,42,0,12,0,12,0,12,2819,431,1537,510,56,65,0,12,0,12,0,12,1217,487,9,15,9,15,0,12,1400000US08001008309,"Census Tract 83.09, Adams County, Colorado"
8538,535,4884,643,2971,468,1050,386,32,50,504,353,0,17,0,17,327,189,110,145,217,125,3654,542,2449,819,147,141,30,36,0,17,0,17,836,478,192,193,15,32,177,188,1400000US08001008353,"Census Tract 83.53, Adams County, Colorado"
4978,342,4068,365,3873,384,27,27,39,56,29,36,0,12,0,12,100,85,0,12,100,85,910,232,778,186,0,12,0,12,0,12,0,12,39,64,93,112,0,12,93,112,1400000US08001008401,"Census Tract 84.01, Adams County, Colorado"
5141,393,4597,360,4368,365,0,17,4,8,0,17,0,17,28,40,197,157,0,17,197,157,544,186,535,184,9,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1400000US08001008402,"Census Tract 84.02, Adams County, Colorado"
7266,503,4746,486,4618,490,0,17,46,47,0,17,0,17,0,17,82,85,0,17,82,85,2520,559,1993,674,14,24,0,17,0,17,0,17,340,289,173,127,105,109,68,81,1400000US08001008505,"Census Tract 85.05, Adams County, Colorado"
6775,593,4238,502,3612,524,231,276,82,71,164,141,84,110,0,17,65,77,0,17,65,77,2537,555,2322,571,9,17,0,17,13,22,0,17,54,51,139,82,66,57,73,74,1400000US08001008506,"Census Tract 85.06, Adams County, Colorado"
6703,610,4148,422,3732,509,188,159,24,39,25,35,0,17,0,17,179,135,0,17,179,135,2555,564,2009,663,12,19,0,17,0,17,0,17,373,362,161,148,41,53,120,136,1400000US08001008507,"Census Tract 85.07, Adams County, Colorado"
5672,344,4259,330,3829,338,11,18,27,42,187,150,0,17,14,21,191,121,0,17,191,121,1413,224,1015,269,0,17,11,19,0,17,0,17,220,146,167,131,35,61,132,120,1400000US08001008508,"Census Tract 85.08, Adams County, Colorado"
9226,510,6805,534,6372,571,109,98,24,29,95,81,0,17,0,17,205,155,0,17,205,155,2421,464,2062,488,0,17,0,17,0,17,35,56,266,299,58,95,58,95,0,17,1400000US08001008523,"Census Tract 85.23, Adams County, Colorado"
9158,506,7355,463,6165,554,384,265,24,37,424,227,0,17,33,39,325,188,0,17,325,188,1803,525,1366,522,0,17,96,156,0,17,0,17,225,194,116,110,32,51,84,99,1400000US08001008524,"Census Tract 85.24, Adams County, Colorado"
6915,412,5798,380,4922,425,103,89,0,17,605,199,0,17,0,17,168,103,15,24,153,97,1117,197,1004,220,0,17,0,17,0,17,0,17,14,24,99,87,23,36,76,83,1400000US08001008526,"Census Tract 85.26, Adams County, Colorado"
7446,534,5242,581,4577,539,294,303,0,17,187,169,0,17,0,17,184,141,20,32,164,135,2204,467,1524,445,0,17,97,120,25,41,0,17,298,200,260,264,0,17,260,264,1400000US08001008529,"Census Tract 85.29, Adams County, Colorado"
8035,564,5454,648,4698,667,222,156,17,28,380,352,0,17,0,17,137,109,0,17,137,109,2581,609,1845,634,0,17,39,60,0,17,0,17,458,300,239,173,118,123,121,117,1400000US08001008533,"Census Tract 85.33, Adams County, Colorado"
4946,360,3111,356,2717,411,41,43,0,12,88,58,0,12,37,53,228,181,0,12,228,181,1835,416,1735,422,0,12,0,12,0,12,0,12,58,53,42,34,26,28,16,19,1400000US08001008534,"Census Tract 85.34, Adams County, Colorado"
3883,385,2210,434,2022,452,45,49,0,12,107,118,0,12,18,30,18,28,0,12,18,28,1673,472,1515,449,0,12,10,15,10,17,0,12,124,116,14,22,0,12,14,22,1400000US08001008535,"Census Tract 85.35, Adams County, Colorado"
3495,256,2444,230,2024,227,54,45,4,7,112,64,0,12,0,12,250,135,0,12,250,135,1051,219,858,204,32,31,8,11,0,12,0,12,101,109,52,55,22,41,30,37,1400000US08001008536,"Census Tract 85.36, Adams County, Colorado"
6846,368,4420,378,3971,372,71,91,32,38,209,146,0,17,0,17,137,94,0,17,137,94,2426,285,2046,306,0,17,124,171,46,50,13,20,129,90,68,47,42,37,26,29,1400000US08001008537,"Census Tract 85.37, Adams County, Colorado"
8171,560,6169,443,5491,419,314,150,0,17,129,143,0,17,14,21,221,112,21,37,200,105,2002,674,1402,650,0,17,12,21,0,17,0,17,502,256,86,73,53,62,33,37,1400000US08001008538,"Census Tract 85.38, Adams County, Colorado"
11059,646,6779,679,5287,580,376,194,83,76,423,269,42,69,0,19,568,334,0,19,568,334,4280,594,3809,607,0,19,13,21,0,19,0,19,268,238,190,210,0,19,190,210,1400000US08001008539,"Census Tract 85.39, Adams County, Colorado"
8029,564,6495,477,5507,521,45,51,87,125,591,169,0,17,0,17,265,196,113,150,152,131,1534,396,1116,345,27,44,0,17,53,90,0,17,271,253,67,88,19,31,48,83,1400000US08001008540,"Census Tract 85.40, Adams County, Colorado"
6241,371,5480,316,5116,345,48,72,36,40,213,179,0,17,0,17,67,61,0,17,67,61,761,163,602,174,0,17,0,17,0,17,0,17,135,155,24,26,11,18,13,20,1400000US08001008541,"Census Tract 85.41, Adams County, Colorado"
9823,497,7669,643,6551,686,90,89,53,63,322,226,103,106,0,17,550,281,0,17,550,281,2154,580,1733,599,20,31,151,204,0,17,0,17,121,133,129,116,42,72,87,101,1400000US08001008542,"Census Tract 85.42, Adams County, Colorado"
9090,562,5079,466,4591,495,127,139,17,24,175,133,25,41,0,17,144,138,0,17,144,138,4011,528,3474,600,0,17,20,32,29,50,0,17,430,230,58,59,0,17,58,59,1400000US08001008543,"Census Tract 85.43, Adams County, Colorado"
5729,376,4586,353,3935,345,50,44,13,21,521,197,0,17,0,17,67,48,0,17,67,48,1143,314,767,244,20,31,15,23,0,17,0,17,34,34,307,223,214,230,93,95,1400000US08001008544,"Census Tract 85.44, Adams County, Colorado"
7138,424,5909,428,5201,435,159,172,0,17,374,170,0,17,0,17,175,132,0,17,175,132,1229,313,937,349,0,17,24,40,26,42,0,17,224,208,18,28,18,28,0,17,1400000US08001008545,"Census Tract 85.45, Adams County, Colorado"
3926,355,3098,327,2682,320,46,68,0,12,342,197,0,12,0,12,28,45,0,12,28,45,828,214,546,188,13,19,110,145,0,12,0,12,145,136,14,21,14,21,0,12,1400000US08001008546,"Census Tract 85.46, Adams County, Colorado"
3663,530,2774,395,2547,410,0,12,24,22,95,85,13,22,0,12,95,78,0,12,95,78,889,428,744,427,0,12,0,12,0,12,0,12,95,64,50,72,45,71,5,13,1400000US08001008547,"Census Tract 85.47, Adams County, Colorado"
1639,119,1312,128,999,129,76,65,32,35,123,98,0,12,0,12,82,90,0,12,82,90,327,84,300,86,0,12,0,12,0,12,0,12,19,22,8,13,8,13,0,12,1400000US08001008548,"Census Tract 85.48, Adams County, Colorado"
4022,243,2986,331,2578,337,0,12,42,51,234,187,0,12,0,12,132,110,30,30,102,106,1036,289,816,318,27,41,14,22,0,12,0,12,128,113,51,47,37,48,14,15,1400000US08001008549,"Census Tract 85.49, Adams County, Colorado"
8220,573,6525,598,5744,631,91,76,0,17,468,259,0,17,0,17,222,153,0,17,222,153,1695,421,1619,428,19,28,0,17,0,17,0,17,57,58,0,17,0,17,0,17,1400000US08001008550,"Census Tract 85.50, Adams County, Colorado"
1569,120,1263,137,1045,142,19,27,0,12,139,81,0,12,0,12,60,39,0,12,60,39,306,135,293,133,0,12,0,12,0,12,0,12,13,22,0,12,0,12,0,12,1400000US08001008551,"Census Tract 85.51, Adams County, Colorado"
1937,213,774,183,746,182,0,12,0,12,0,12,8,13,0,12,20,19,0,12,20,19,1163,223,1047,226,0,12,0,12,0,12,0,12,78,47,38,31,12,14,26,27,1400000US08001008603,"Census Tract 86.03, Adams County, Colorado"
5254,487,2931,357,2541,342,305,143,52,64,13,26,0,17,0,17,20,29,0,17,20,29,2323,429,1980,371,0,17,58,80,0,17,0,17,211,140,74,64,50,56,24,28,1400000US08001008604,"Census Tract 86.04, Adams County, Colorado"
