geoid,name,B01003001,"B01003001, Error"
04000US08,Colorado,5684926,0
14000US08001007801,"Census Tract 78.01, Adams, CO",4274,647
14000US08001007802,"Census Tract 78.02, Adams, CO",4491,767
14000US08001007900,"Census Tract 79, Adams, CO",5561,694
14000US08001008000,"Census Tract 80, Adams, CO",5713,992
14000US08001008100,"Census Tract 81, Adams, CO",1440,193
14000US08001008200,"Census Tract 82, Adams, CO",6779,1030
14000US08001008308,"Census Tract 83.08, Adams, CO",5837,855
14000US08001008309,"Census Tract 83.09, Adams, CO",4113,639
14000US08001008401,"Census Tract 84.01, Adams, CO",5326,458
14000US08001008402,"Census Tract 84.02, Adams, CO",4904,712
14000US08001008505,"Census Tract 85.05, Adams, CO",7373,784
14000US08001008506,"Census Tract 85.06, Adams, CO",6581,887
14000US08001008507,"Census Tract 85.07, Adams, CO",6632,1108
14000US08001008508,"Census Tract 85.08, Adams, CO",5831,882
14000US08001008524,"Census Tract 85.24, Adams, CO",9726,967
14000US08001008526,"Census Tract 85.26, Adams, CO",7227,882
14000US08001008533,"Census Tract 85.33, Adams, CO",8532,1020
14000US08001008534,"Census Tract 85.34, Adams, CO",4851,635
14000US08001008535,"Census Tract 85.35, Adams, CO",4008,592
14000US08001008536,"Census Tract 85.36, Adams, CO",3716,462
14000US08001008538,"Census Tract 85.38, Adams, CO",8344,912
14000US08001008540,"Census Tract 85.40, Adams, CO",8996,1312
14000US08001008544,"Census Tract 85.44, Adams, CO",6086,718
14000US08001008545,"Census Tract 85.45, Adams, CO",7186,784
14000US08001008546,"Census Tract 85.46, Adams, CO",4327,716
14000US08001008547,"Census Tract 85.47, Adams, CO",3108,522
14000US08001008548,"Census Tract 85.48, Adams, CO",1737,247
14000US08001008549,"Census Tract 85.49, Adams, CO",3905,748
14000US08001008550,"Census Tract 85.50, Adams, CO",8258,1176
14000US08001008551,"Census Tract 85.51, Adams, CO",1697,272
14000US08001008603,"Census Tract 86.03, Adams, CO",1875,357
14000US08001008604,"Census Tract 86.04, Adams, CO",5399,793
14000US08001008605,"Census Tract 86.05, Adams, CO",4040,740
14000US08001008606,"Census Tract 86.06, Adams, CO",5762,799
14000US08001008705,"Census Tract 87.05, Adams, CO",5358,846
14000US08001008706,"Census Tract 87.06, Adams, CO",5625,905
14000US08001008709,"Census Tract 87.09, Adams, CO",7695,1072
14000US08001008801,"Census Tract 88.01, Adams, CO",4977,715
14000US08001008802,"Census Tract 88.02, Adams, CO",5434,968
14000US08001008901,"Census Tract 89.01, Adams, CO",2741,480
14000US08001009001,"Census Tract 90.01, Adams, CO",4566,689
14000US08001009101,"Census Tract 91.01, Adams, CO",5052,718
14000US08001009103,"Census Tract 91.03, Adams, CO",4705,852
14000US08001009104,"Census Tract 91.04, Adams, CO",6356,1262
14000US08001009202,"Census Tract 92.02, Adams, CO",4648,734
14000US08001009203,"Census Tract 92.03, Adams, CO",5677,968
14000US08001009204,"Census Tract 92.04, Adams, CO",6929,899
14000US08001009206,"Census Tract 92.06, Adams, CO",2594,338
14000US08001009207,"Census Tract 92.07, Adams, CO",5117,927
14000US08001009304,"Census Tract 93.04, Adams, CO",5715,725
14000US08001009306,"Census Tract 93.06, Adams, CO",3120,424
14000US08001009307,"Census Tract 93.07, Adams, CO",3217,641
14000US08001009308,"Census Tract 93.08, Adams, CO",4869,705
14000US08001009309,"Census Tract 93.09, Adams, CO",4230,619
