geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
04000US08,Colorado,5684926,0,4453800,429,3837450,2745,224190,2381,29337,1121,178265,2196,7794,706,12208,1464,164556,4257,17233,2197,147323,3536,1231126,429,796855,7335,11502,1129,24334,1805,3468,653,1089,412,221205,5232,172673,5732,130126,4219,42547,2967
14000US08001007801,"Census Tract 78.01, Adams, CO",4274,647,2586,520,714,237,651,355,16,28,1089,507,4,11,9,14,103,67,34,54,69,47,1688,534,641,276,9,14,9,14,0,12,0,12,759,355,270,394,255,404,15,24
14000US08001007802,"Census Tract 78.02, Adams, CO",4491,767,1804,341,637,243,758,265,37,54,352,269,0,12,0,12,20,21,0,12,20,21,2687,726,542,288,21,25,12,21,0,12,0,12,1516,402,596,628,558,646,38,48
14000US08001007900,"Census Tract 79, Adams, CO",5561,694,2873,596,1638,399,855,341,39,56,196,170,0,17,0,17,145,125,0,17,145,125,2688,445,1479,585,17,24,0,17,0,17,0,17,1135,405,57,50,36,40,21,27
14000US08001008000,"Census Tract 80, Adams, CO",5713,992,3229,988,1357,293,545,286,95,90,176,171,0,17,870,953,186,153,0,17,186,153,2484,457,1532,419,0,17,16,28,13,20,0,17,768,348,155,92,113,93,42,43
14000US08001008100,"Census Tract 81, Adams, CO",1440,193,1123,204,854,187,14,23,13,15,194,115,0,12,4,7,44,31,0,12,44,31,317,127,128,86,5,7,6,9,0,12,0,12,123,94,55,44,29,48,26,26
14000US08001008200,"Census Tract 82, Adams, CO",6779,1030,2935,462,1730,330,806,288,0,17,129,126,0,17,57,91,213,133,0,17,213,133,3844,955,1783,601,0,17,12,21,7,16,0,17,1596,793,446,402,355,383,91,128
14000US08001008308,"Census Tract 83.08, Adams, CO",5837,855,2787,531,1303,282,1001,400,47,37,384,393,0,17,0,17,52,44,0,17,52,44,3050,747,1598,536,0,17,0,17,0,17,0,17,1068,543,384,551,384,551,0,17
14000US08001008309,"Census Tract 83.09, Adams, CO",4113,639,1573,386,862,195,456,269,0,12,119,105,96,145,40,63,0,12,0,12,0,12,2540,581,1137,472,11,17,61,92,0,12,0,12,1014,506,317,323,317,323,0,12
14000US08001008401,"Census Tract 84.01, Adams, CO",5326,458,4389,475,4133,506,22,23,49,73,10,18,0,17,0,17,175,108,0,17,175,108,937,292,671,197,0,17,2,3,0,17,0,17,156,173,108,124,0,17,108,124
14000US08001008402,"Census Tract 84.02, Adams, CO",4904,712,4067,434,3751,391,0,12,7,10,0,12,0,12,72,65,237,172,35,55,202,154,837,652,338,219,10,15,0,12,0,12,0,12,0,12,489,641,489,641,0,12
14000US08001008505,"Census Tract 85.05, Adams, CO",7373,784,4926,727,4758,713,26,48,72,80,0,17,0,17,0,17,70,75,0,17,70,75,2447,566,1939,632,17,26,0,17,0,17,0,17,315,296,176,129,130,117,46,54
14000US08001008506,"Census Tract 85.06, Adams, CO",6581,887,4847,795,3458,533,344,333,88,74,212,200,99,122,0,17,646,549,0,17,646,549,1734,699,1279,466,0,17,0,17,13,20,0,17,58,52,384,423,342,418,42,54
14000US08001008507,"Census Tract 85.07, Adams, CO",6632,1108,4354,867,3894,905,238,166,18,30,34,66,0,17,0,17,170,129,0,17,170,129,2278,833,1216,427,8,20,0,17,0,17,0,17,597,615,457,372,303,335,154,172
14000US08001008508,"Census Tract 85.08, Adams, CO",5831,882,4177,775,3788,828,8,12,0,17,124,117,0,17,14,20,243,152,0,17,243,152,1654,442,1073,335,0,17,12,20,0,17,0,17,215,129,354,339,80,86,274,272
14000US08001008524,"Census Tract 85.24, Adams, CO",9726,967,8063,940,6333,762,332,249,19,29,840,423,0,17,76,84,463,232,125,122,338,191,1663,565,1185,523,0,17,90,137,0,17,0,17,207,185,181,165,49,58,132,160
14000US08001008526,"Census Tract 85.26, Adams, CO",7227,882,6024,826,4781,750,129,137,0,17,730,295,0,17,0,17,384,219,14,23,370,216,1203,291,942,248,0,17,0,17,0,17,0,17,43,52,218,147,143,131,75,79
14000US08001008533,"Census Tract 85.33, Adams, CO",8532,1020,5435,833,4693,833,208,136,17,31,342,131,0,17,0,17,175,138,0,17,175,138,3097,904,2042,648,0,17,41,65,13,22,0,17,654,465,347,234,253,209,94,109
14000US08001008534,"Census Tract 85.34, Adams, CO",4851,635,3129,622,2896,658,32,51,0,12,103,94,0,12,32,50,66,80,0,12,66,80,1722,461,1405,403,0,12,0,12,0,12,0,12,48,45,269,253,157,197,112,144
14000US08001008535,"Census Tract 85.35, Adams, CO",4008,592,2583,562,2423,578,88,112,5,12,56,45,0,12,0,12,11,22,0,12,11,22,1425,440,1211,434,0,12,0,12,9,14,0,12,205,143,0,12,0,12,0,12
14000US08001008536,"Census Tract 85.36, Adams, CO",3716,462,2819,418,2413,449,41,43,3,5,116,79,0,12,0,12,246,119,0,12,246,119,897,213,657,165,39,54,7,11,0,12,0,12,146,147,48,50,11,22,37,46
14000US08001008538,"Census Tract 85.38, Adams, CO",8344,912,5878,649,5204,632,300,136,0,17,110,126,0,17,16,24,248,139,38,58,210,134,2466,979,1512,685,0,17,17,23,0,17,0,17,869,699,68,65,39,65,29,36
14000US08001008540,"Census Tract 85.40, Adams, CO",8996,1312,6602,669,5428,683,55,61,114,152,660,159,0,17,0,17,345,310,130,159,215,266,2394,1064,1262,420,29,53,0,17,0,17,0,17,302,248,801,948,724,937,77,116
