geoid,name,B07003001,"B07003001, Error",B07003002,"B07003002, Error",B07003003,"B07003003, Error",B07003004,"B07003004, Error",B07003005,"B07003005, Error",B07003006,"B07003006, Error",B07003007,"B07003007, Error",B07003008,"B07003008, Error",B07003009,"B07003009, Error",B07003010,"B07003010, Error",B07003011,"B07003011, Error",B07003012,"B07003012, Error",B07003013,"B07003013, Error",B07003014,"B07003014, Error",B07003015,"B07003015, Error",B07003016,"B07003016, Error",B07003017,"B07003017, Error",B07003018,"B07003018, Error"
04000US08,Colorado,5625572,1641,2831125,1693,2794447,1535,4635646,12098,2324060,6212,2311586,7437,452500,8631,229292,5020,223208,5003,279217,6387,143562,3751,135655,3838,226020,5983,117403,3657,108617,3151,32189,2180,16808,1227,15381,1296
14000US08001007801,"Census Tract 78.01, Adams, CO",4224,640,2178,371,2046,363,3109,626,1665,388,1444,320,152,86,73,52,79,65,548,253,238,108,310,173,43,32,24,22,19,20,372,287,178,140,194,154
14000US08001007802,"Census Tract 78.02, Adams, CO",4473,770,2196,473,2277,410,3603,697,1868,451,1735,345,224,214,80,75,144,148,295,171,106,66,189,134,131,103,96,73,35,34,220,162,46,55,174,150
14000US08001007900,"Census Tract 79, Adams, CO",5548,693,2847,377,2701,445,4662,576,2466,337,2196,360,186,112,40,44,146,93,585,296,254,151,331,186,13,22,13,22,0,17,102,89,74,57,28,45
14000US08001008000,"Census Tract 80, Adams, CO",5643,992,2733,458,2910,619,4951,1025,2376,483,2575,624,107,123,101,120,6,8,536,264,217,122,319,167,37,37,35,37,2,4,12,14,4,9,8,12
14000US08001008100,"Census Tract 81, Adams, CO",1440,193,715,163,725,145,932,156,463,136,469,116,104,93,59,68,45,64,144,53,56,23,88,41,248,110,128,69,120,73,12,12,9,11,3,5
14000US08001008200,"Census Tract 82, Adams, CO",6587,1024,3554,843,3033,329,5438,964,2787,717,2651,364,253,203,157,160,96,140,702,367,503,305,199,96,174,115,87,54,87,79,20,34,20,34,0,17
14000US08001008308,"Census Tract 83.08, Adams, CO",5837,855,2740,489,3097,477,4782,807,2155,459,2627,436,219,203,158,150,61,58,748,473,383,234,365,279,49,69,28,38,21,33,39,45,16,26,23,37
14000US08001008309,"Census Tract 83.09, Adams, CO",4038,640,2091,452,1947,274,3124,482,1575,304,1549,255,40,46,3,5,37,45,765,473,494,326,271,180,16,27,0,12,16,27,93,133,19,31,74,103
14000US08001008401,"Census Tract 84.01, Adams, CO",5293,458,2753,269,2540,330,4726,485,2432,277,2294,327,220,145,114,78,106,98,269,163,158,93,111,82,78,55,49,51,29,30,0,17,0,17,0,17
14000US08001008402,"Census Tract 84.02, Adams, CO",4775,622,2317,394,2458,319,4303,620,2045,392,2258,310,105,115,45,58,60,61,229,149,152,103,77,55,100,90,47,42,53,52,38,45,28,41,10,15
14000US08001008505,"Census Tract 85.05, Adams, CO",7320,776,3894,459,3426,457,6654,742,3507,427,3147,443,285,180,160,116,125,98,338,243,206,163,132,120,43,66,21,33,22,33,0,17,0,17,0,17
14000US08001008506,"Census Tract 85.06, Adams, CO",6527,879,3188,620,3339,543,4417,887,2177,611,2240,483,1649,626,782,323,867,370,291,210,154,112,137,107,131,115,56,59,75,72,39,72,19,36,20,36
