geoid,name,B15003001,"B15003001, Error",B15003002,"B15003002, Error",B15003003,"B15003003, Error",B15003004,"B15003004, Error",B15003005,"B15003005, Error",B15003006,"B15003006, Error",B15003007,"B15003007, Error",B15003008,"B15003008, Error",B15003009,"B15003009, Error",B15003010,"B15003010, Error",B15003011,"B15003011, Error",B15003012,"B15003012, Error",B15003013,"B15003013, Error",B15003014,"B15003014, Error",B15003015,"B15003015, Error",B15003016,"B15003016, Error",B15003017,"B15003017, Error",B15003018,"B15003018, Error",B15003019,"B15003019, Error",B15003020,"B15003020, Error",B15003021,"B15003021, Error",B15003022,"B15003022, Error",B15003023,"B15003023, Error",B15003024,"B15003024, Error",B15003025,"B15003025, Error"
04000US08,Colorado,3900754,1046,45328,1959,572,210,619,165,1240,337,2428,451,4586,606,3567,649,6405,676,30105,1814,9210,813,24563,1397,35832,1633,40183,1705,49797,2117,54350,2009,671575,7558,155506,3245,240244,4317,569664,6317,332127,4489,1015989,7701,445484,6112,93603,2581,67777,1960
14000US08001007801,"Census Tract 78.01, Adams, CO",2299,304,308,160,0,12,20,29,0,12,0,12,49,54,0,12,36,39,108,96,70,72,61,65,39,34,255,107,62,55,86,51,447,162,62,40,106,82,386,114,83,54,97,59,5,8,0,12,19,21
14000US08001007802,"Census Tract 78.02, Adams, CO",2902,416,186,114,0,12,0,12,0,12,13,22,78,113,43,63,88,90,195,111,71,70,64,39,113,76,135,90,93,59,95,91,950,277,130,85,152,91,187,87,90,51,135,69,66,46,0,12,18,19
14000US08001007900,"Census Tract 79, Adams, CO",3525,516,63,93,0,17,9,15,24,37,0,17,49,56,2,5,42,48,161,88,147,107,43,42,95,91,84,52,156,114,59,52,1024,266,124,93,165,68,280,114,334,132,423,181,209,124,21,23,11,18
14000US08001008000,"Census Tract 80, Adams, CO",3893,947,138,104,0,17,17,27,0,17,0,17,24,40,0,17,22,35,149,123,4,7,13,14,161,120,7,13,57,52,98,69,1596,961,205,103,229,140,393,157,278,129,298,113,178,69,16,18,10,14
14000US08001008100,"Census Tract 81, Adams, CO",1062,181,24,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,0,12,21,47,4,10,0,12,3,7,86,60,36,47,30,23,81,47,91,43,342,102,140,56,128,67,68,41
14000US08001008200,"Census Tract 82, Adams, CO",4459,680,59,49,0,17,0,17,0,17,0,17,0,17,0,17,105,116,55,67,40,44,128,107,83,74,206,130,132,112,248,167,1402,294,359,188,341,223,446,143,357,134,360,173,82,54,15,18,41,37
14000US08001008308,"Census Tract 83.08, Adams, CO",3278,547,160,109,0,17,13,20,0,17,0,17,10,15,0,17,0,17,25,41,76,66,113,109,110,79,79,52,111,79,125,152,1203,362,78,55,191,98,282,120,224,103,277,91,178,146,0,17,23,27
14000US08001008309,"Census Tract 83.09, Adams, CO",2437,493,36,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,137,86,20,31,72,54,83,80,102,79,148,71,114,147,959,257,89,58,134,104,227,95,105,64,165,137,37,35,9,10,0,12
14000US08001008401,"Census Tract 84.01, Adams, CO",3755,359,55,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,20,31,47,66,57,31,25,200,95,1255,254,271,108,267,97,488,130,466,178,545,167,31,23,35,32,0,17
14000US08001008402,"Census Tract 84.02, Adams, CO",3166,463,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,6,9,27,26,49,36,640,172,88,79,261,104,898,334,422,153,521,155,232,92,0,12,3,8
14000US08001008505,"Census Tract 85.05, Adams, CO",5008,497,152,121,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17,12,20,22,36,15,27,121,94,33,37,173,101,1647,415,208,106,340,120,835,222,553,175,525,176,314,178,16,26,27,32
14000US08001008506,"Census Tract 85.06, Adams, CO",3936,509,142,105,0,17,0,17,0,17,0,17,24,38,0,17,0,17,17,27,24,38,35,50,32,36,13,22,112,116,48,53,1394,256,121,89,262,117,674,235,419,185,399,199,98,100,122,187,0,17
14000US08001008507,"Census Tract 85.07, Adams, CO",4479,1005,104,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,41,64,0,17,30,38,44,50,77,110,1722,634,618,362,256,125,717,241,388,239,359,141,111,84,12,23,0,17
14000US08001008508,"Census Tract 85.08, Adams, CO",3807,534,109,81,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,46,8,13,0,17,17,24,12,16,237,183,62,62,835,174,240,125,353,168,604,143,456,197,594,163,208,83,33,38,10,15
14000US08001008524,"Census Tract 85.24, Adams, CO",6356,722,76,91,0,17,0,17,0,17,0,17,0,17,0,17,0,17,61,59,0,17,24,38,12,22,0,17,102,100,178,120,1013,301,290,185,409,132,883,177,643,179,1615,322,799,320,49,53,202,169
14000US08001008526,"Census Tract 85.26, Adams, CO",4895,463,115,156,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,90,86,160,107,932,311,62,71,321,166,856,237,298,130,1193,273,704,203,56,53,94,79
